KMBA	#	Persian	Transliteration
শুধু সঙ্গীর দিল নিতে আর নিজের দিল দিতে।		برگرفتی ز حریفان دل و دل می‌دادت	bargereftī ze ḥarīfān del o del mīdādat
আঙুরকন্যার দাস হও, তাকে আসতে দাও,		برسان بندگیِ دختر رَز، گو به درآی	beresān bande-gī-ye doḵṯar-e raz, gū be darāy
তোমার বাঁধন ভেঙেছে আমাদের দমে হিম্মতে।		که دَم و همّت ما کرد ز بند، آزادت	ke dam o hemmat-e mā kard ze band, āzādat
মজলিসের সুখ তোমার আগমনে ও কদমে,		شادی مجلسیان در قدم و مقدم توست	shādī-ye majlesiyān dar qadam o moghaddam-e tost
তোমার সুখ না চাওয়া দিল ভাসুক দুখের স্রোতে।		جای غم باد، مَر آن دل که نخواهد شادت	jāy-e ḡam bād, mar ān del ke naḵwāhad shādat
খোদার শোকর, হেমন্তের লুটতরাজ হয়নি		شکر ایزد که ز تاراجِ خزان رخنه نیافت	shokr-e īzad ke ze tārāj-e ḵẖazān roḵẖneh nayāft
জুঁই সাইপ্রেস গোলাপের বাগানে চাঁপার ধাতে।		بوستانِ سمن و سرو و گل و شمشادت	bustān-e saman o sarv o gol o shamshādat
বদনজর দূরে থাক, কারণ সেই বিচ্ছেদ থেকে		چشمِ بد دور کز آن تفرقه‌ات بازآورد	chashm-e bad dūr, ke az ān tafreqat bāzāvard
তুমি ফিরেছ বিখ্যাত জন্মগত ভাগ্যের দৌলতে।		طالعِ ناموَر و دولتِ مادرزادت	ṭāleʿ-e nāmavar o dowlat-e mādarzādat
হাফিজ, হারায়ো না নূহের নৌকার এই দৌলত,		حافظ از دست مده دولت این کشتی نوح	Ḥāfeẓ, az dast madeh dowlat-e īn keshtī-ye Nūḥ
নয় কালের তুফান নামবে তোমার বুনিয়াদে।		ور نه طوفانِ حوادث بِبَرَد بُنیادت	varna ṭūfān-e ḥavādes bebarad bonyādat
			
হে ভোরের বাতাস, বন্ধুর আরামঘর কোথায়?	19	ای نسیمِ سحر آرامگَهِ یار کجاست؟	ey nasīm-e saḥar ārāmgah-e yār kojāst?
প্রেমিকনাশী চতুর সে চাঁদের বিহার কোথায়?		منزلِ آن مَهِ عاشق‌کُشِ عَیّار کجاست؟	manzel-e ān mah-e ʿāsheq-kosh-e ʿayyār kojāst?
রাত অন্ধকার, পুণ্য উপত্যকার পথ সামনে;		شبِ تار است و رَهِ وادیِ اَیمَن در پیش	shab-e tārest o rah-e vādi-ye ayman dar pīsh
তূর পাহাড়ে আতশ কই? সেই দিদার কোথায়?		آتشِ طور کجا موعدِ دیدار کجاست؟	ātaš-e ṭūr kojā? movʿed-e dīdar kojāst?
যারাই জাহানে আসে বয়ে আনে খারাপের নক্সা,		هر که آمد به جهان نقشِ خرابی دارد	har ke āmad be jahān naqsh-e ḵẖarābī dārad
তবে বলো, খারাবাতে একটা হুঁশিয়ার কোথায়?		در خرابات بگویید که هُشیار کجاست؟	dar ḵẖarābāt begūyīd ke hoshyār kojāst?
সুখবর পাওয়ার যোগ্য সে-ই যে ইশারা বুঝে,		آن‌کس است اهلِ بشارت که اشارت داند	ān kas ast ahl-e bešārat ke eshārat dānad
সূক্ষ্মতা বহু আছে, রহস্যের সহচর কোথায়?		نکته‌ها هست بسی مَحرمِ اسرار کجاست؟	noktehā hast basī, maḥram-e asrār kojāst?
আমার প্রতি চুলের চূড়ে তোমার হাজার চুক্তি,		هر سرِ مویِ مرا با تو هزاران کار است	har sar-e mū-ye marā bā to hazārān kār ast
আমরা কোথায় আর যে খোঁজে বিকার, কোথায়?		ما کجاییم و مَلامت‌گرِ بی‌کار کجاست؟	mā kojāyīm o malāmatgar-e bīkār kojāst?
আবার জানতে চাও তার ঢেউ-ঢেউ চুলের কথা,		باز پرسید ز گیسویِ شِکَن در شِکَنَش	bāz porsīd ze gīsū-ye shekan dar shekanash
দুঃখে ভরা পথহারা দিলের কারাগার কোথায়?		کاین دلِ غم‌زده سرگشته گرفتار کجاست؟	ke in del-e ḡamzadeh sargashteh gereftār kojāst?
আকল হলো পাগল, কস্তুরীর শিকল কোথায়?		عقل دیوانه شد آن سلسلهٔ مُشکین کو؟	ʿaql dīvāneh shod ān selseleh-ye moshkīn kū?
আমাদের দিল গেছে, তোমার ভ্রু, দিলদার, কোথায়?		دل ز ما گوشه گرفت ابرویِ دلدار کجاست؟	del ze mā gūshe gereft, abru-ye deldār kojāst?
সাকী শিল্পী আর মদ সব প্রস্তুত আছে, কিন্তু		ساقی و مُطرب و مِی جمله مُهَیّاست ولی	sāqī o moṭreb o mey jamleh mohayyāst valī
প্রেম ছাড়া আনন্দ পুরা হয় না, ইয়ার কোথায়?		عیش بی‌یار مُهیّا نشود یار کجاست؟	ʿeysh bī yār mohayyā nashavad, yār kojāst?
হাফিজ, সময়ের বাগানে হোক না শরতের ঝড়,		حافظ از بادِ خزان در چمنِ دَهر مَرَنج	Ḥāfeẓ az bād-e ḵẖazān dar chaman-e dahr maranj
দুঃখ করো না, কাঁটা ছাড়া গোলাপঝাড় কোথায়?		فکرِ معقول بفرما گُلِ بی‌خار کجاست؟	fekr-e maʿqūl befarma, gol-e bī ḵẖār kojāst?
			
রোজা শেষ, ঈদ এলো, জেগে উঠেছে সবার দিল,	20	روزه یک سو شد و عید آمد و دل‌ها برخاست	rūzeh yek sū shod o ʿīd āmad o delhā barkhāst
মদের স্রোত বয় বারে, এখনি খোঁজো তার মিল।		می ز خُم‌خانه به‌جوش آمد و می‌باید خواست	mey ze ḵẖomḵẖāneh be jūsh āmad o mey bāyad ḵẖvāst
সংযম-ব্যবসায়ী গোঁয়ার জাহেদের দিন শেষ,		نوبهٔ زهدفروشانِ گران‌جان بگذشت	nowbeh-ye zoḥd-forūshān-e gerān-jān bogẕasht
এখন রিন্দের দিন, প্রেম সুখ মুক্তি অনাবিল।		وقتِ رندی و طرب کردنِ رندان پیداست	vaqt-e rendī o ṭarab kardan-e rendān peydāst
এমন মদ যে খায় তাকে দোষারোপ করো কেন		چه ملامت بُوَد آن را که چنین باده خورَد؟	che malāmat bovad ān rā ke chenīn bāde ḵẖorad?
এমন মূর্খের মতো? কি দোষ তার, কি মুশকিল?		این چه عیب است بدین بی‌خردی؟ وین چه خطاست؟	īn che ʿeyb ast bedīn bī-ḵẖeradī? vīn che ḵẖaṭāst?
যে মদপানের মধ্যে মুখোশ আর ভণ্ডামি নাই		باده‌نوشی که در او روی و ریایی نَبُوَد	bāde-nūshī ke dar ū rūy o reyāyī nabovad
সে তুলনায় বৈরাগ্য বেচা লোভীর মুখ কুটিল।		بهتر از زهدفروشی که در او روی و ریاست	behtar az zoḥd-forūshī ke dar ū rūy o riyāst
আমরা ভণ্ড রিন্দ না, মুনাফিকের মতো সঙ্গী না,		ما نه رندانِ ریاییم و حریفانِ نفاق	mā na rendān-e reyāyīm o ḥarīfān-e nofāq
আমাদের এ হালের সাক্ষী যে রহস্যের কামিল।		آن‌که او عالِم سِرّ است، بدین حال گواست	ān ke ū ʿālem-e serr ast, bedīn ḥāl gavāst
খোদার ফরজ করি পালন, না করি কারো খারাপ,		فرضِ ایزد بگزاریم و به کس بد نکنیم	farẓ-e īzad begozārīm o be kas bad nakonīm
লোকে যা বৈধ বলে না করি তাই বৈধের শামিল।		وان چه گویند روا نیست، نگوییم رواست	vān che gūyand ravā nīst, nagūyīm ravāst
কি হয় যদি কয়েক গ্লাস মদ খাই আমি তুমি?		چه شود گر من و تو چند قدح باده خوریم؟	che shavad gar man o to chand qadaḥ bāde ḵẖorīm?
তোমার খুনে তো না, আঙুরের খুনে মদ রঙ্গিল।		باده از خونِ رزان است، نه از خون شماست	bāde az ḵẖūn-e razān ast, na az ḵẖūn-e shomāst
			
হারিয়েছি দিল দ্বীন, দিলবার উঠে দিল দুর্নাম;	21	دل و دینم شد و دلبر به ملامت برخاست	del o dīnam shod o delbar be malāmat barkhāst
বলল, থেকো না সাথে, উঠে গেছে তোমার সালাম।		گفت با ما منشین، کز تو سلامت برخاست	goft bā mā maneshīn, kaz to salāmat barkhāst
এ আসরে কিছুক্ষণ খুশিতে বসে সোহবত শেষে		که شنیدی که در این بزم، دمی خوش بنشست؟	ke shenīdī ke dar īn bazm, damī ḵẖosh beneshast?
আক্ষেপে উঠে যায়নি, শুনেছ এমন কারো নাম?		که نه در آخرِ صحبت به ندامت برخاست	ke na dar āḵẖer-e ṣoḥbat be nadāmat barkhāst?
মোম যদি হাসিমাখা তোমার ঠোঁট হয়ে গর্ব করে,		شمع اگر زان لبِ خندان به زبان، لافی زد	shamʿ agar z-ān lab-e ḵẖandān be zabān, lāfī zad
আশিকদের সামনে সারারাত জ্বলে দিবে তার দাম।		پیشِ عشاقِ تو شب‌ها به غَرامت برخاست	pīsh-e ʿoshshāq-e to shabhā be gharāmat barkhāst
বাগানে বসন্ত হাওয়া সাইপ্রেস গোলাপের পাশে		در چمن، بادِ بهاری ز کنار گل و سرو	dar chaman, bād-e bahārī ze kenār-e gol o sarv
ওঠে তোমার মুখ ও দিঘল দেহে করতে প্রণাম।		به هواداریِ آن عارض و قامت برخاست	be havādārī-ye ān ʿārez o qāmat barkhāst
ড্রাংক তুমি হেঁটে গেলে নির্জন মালাকদের মাঝে,		مست بگذشتی و از خلوتیانِ ملکوت	mast bogẕashtī o az ḵẖalvatīān-e malakūt
দেখে তোলপাড় হলো কেয়ামতের মতো উদ্দাম।		به تماشایِ تو آشوبِ قیامت برخاست	be tamāshā-ye to ās̱hūb-e qīāmat barkhāst
তোমার চলার পথে লজ্জায় পা উঠাতে পারেনি		پیشِ رفتار تو پا برنگرفت از خِجلت	pīsh-e raftār-e to pā bar nagereft az ḵẖijlat
গর্বিত সাইপ্রেস, শরীর যার দিঘল সুঠাম।		سروِ سرکش که به ناز از قد و قامت برخاست	sarv-e sarkash ke be nāz az qadd o qāmat barkhāst
হাফিজ, জান বাঁচাতে চাইলে খিরকা ফেলে দাও,		حافظ این خرقه بینداز مگر جان ببری	Ḥāfeẓ īn kherqeh biyandāz magar jān bebari
কেরামতি ভণ্ডামির খিরকায় আগুন অবিরাম।		کآتش از خرقهٔ سالوس و کرامت برخاست	ke ātash az kherqeh-ye sālūs o kerāmat barkhāst
			
যখন দিলদারের কথা শুনবে, বলো না ভুল,	22	چو بشنوی سخنِ اهلِ دل، مگو که خطاست	cho beshnavī sokhan-e ahl-e del, magū ke ḵhaṭāst
তুমি যে কথা বোঝো না, জান, তাই ভুলের মুকুল।		سخن‌شناس نه‌ای، جان من! خطا این جاست	sokhan-shenās na'ī, jān-e man! ḵhaṭā īn jāst
শির আমার আখিরাত দুনিয়া কারো কাছে নত না,		سرم به دنیی و عقبی فرو نمی‌آید	saram be donyā o ʿoqbā farū nemī-āyad
আল্লা মহান যে আমার মাথা এত ফিতনায় ফুল।		تبارک الله ازین فتنه‌ها که در سرِ ماست	tabārak-Allāh az īn fetneh-hā ke dar sar-e māst
ক্লান্তদিল আমার অন্দরে জানি না কে আছে,		در اندرونِ منِ خسته‌دل ندانم کیست!	dar andarūn-e man-e ḵẖaste-del nadānam kīst!
আমি খামোশ, সে ফোঁপানি ও গোঙানিতে মশগুল।		که من خموشم و او در فغان و در غوغاست	ke man ḵẖamosham o ū dar feghān o dar ghowghāst
পর্দা থেকে বেরোল আমার দিল, তুমি কই, শিল্পী?		دلم ز پرده برون شد، کجایی ای مطرب؟	delam ze pardeh berūn shod, kojā'ī ey moṭreb?
বাজাও! এ পর্দায় আমাদের হাল সুরের মাতুল।		بنال، هان که از این پرده، کارِ ما به نواست	benāl, hān ke az īn pardeh, kār-e mā be navāst
দুনিয়ার কারবার আমাকে কখনোই টানেনি,		مرا به کارِ جهان هرگز التفات نبود	marā be kār-e jahān hargez eltefāt nabūd
শুধু আমার চোখে তোমার মুখের শোভা অতুল।		رخِ تو در نظرِ من چنین خوشش آراست	roḵẖ-e to dar naẓar-e man chenīn ḵẖoshash ārāst
ঘুমাইনি এক খেয়ালে যা পুড়িয়ে মারছে দিল,		نخفته‌ام ز خیالی که می‌پزد دلِ من	naḵẖofte'am ze ḵẖeyālī ke mī-pazad del-e man
শত রাতের তৃষ্ণা আমার, কই শরাবের কুল?		خمارِ صد شبه دارم شراب‌خانه کجاست؟	ḵẖomār-e sad shabé dāram, sharāb-ḵẖāneh kojāst?
আমার দিলের খুনে যেহেতু মন্দির কলুষিত,		چنین که صومعه آلوده شد ز خونِ دلم	chenīn ke ṣowmeʿeh ālūdeh shod ze ḵẖūn-e delam
মদ দিয়ে আমাকে ধোয়ার হক তোমার কবুল।		گَرَم به باده بشویید، حق به دستِ شماست	garam be bādeh beshūyīd, ḥaqq be dast-e shomāst
এজন্যই মাজির মন্দিরে আমার সম্মান এত,		از آن به دیرِ مغانم عزیز می‌دارند	az ān be deyre-e moġhān-am ʿazīz mīdārand
অনির্বাণ শিখা আমাদের দিলে চির নিরাকুল।		که آتشی که نمیرد، همیشه در دلِ ماست	ke ātashī ke namīrad, hamīshe dar del-e māst
সেই শিল্পী কি সুর বাজাচ্ছিল পর্দায় যে		چه ساز بود که در پرده می‌زد آن مطرب	che sāz būd ke dar pardeh mī-zad ān moṭreb
জীবন গেলেও মন এখনো কামনাসংকুল?		که رفت عمر و هنوزم دماغ پُر ز هواست	ke raft ʿomr o hanūzam damāgh por ze havāst?
গত রাতে তোমার প্রেমের ডাক বাজল অন্তরে,		ندای عشق تو دیشب در اندرون دادند	nadā-ye ʿeshq-e to dīshab dar andarūn dādand
হাফিজের পিঞ্জর এখনো সেই শব্দে সমাকুল।		فضایِ سینهٔ حافظ هنوز پر ز صداست	fażā-ye sīneh-ye Ḥāfeẓ hanūz por ze ṣedāst
			
তোমার রূপের খেয়াল আমাদের প্রতি পথের বাহন	23	خیالِ رویِ تو در هر طریق همرهِ ماست	ḵẖeyāl-e rūy-e to dar har ṭarīq hamrah-e māst
ও তোমার চুলের হাওয়া জাগ্রত আত্মার বাঁধন।		نسیمِ مویِ تو، پیوندِ جانِ آگهِ ماست	nasīm-e mūy-e to, peyvand-e jān-e āgahe māst
যারা প্রেম নিষেধ করে তাদের বিরোধিতা সত্ত্বেও		به رَغمِ مدّعیانی که منعِ عشق کنند	be ragham-e moddāʿiyānī ke manʿ-e ʿeshq konand
তোমার চেহারার শোভাই আমাদের অকাট্য কারণ।		جمالِ چهرهٔ تو، حجّتِ موجّهِ ماست	jamāl-e chehre-ye to, ḥojjat-e moʿajjeh-e māst
দেখো তোমার চিবুকের আপেল কি বলছে:		ببین که سیبِ زنخدانِ تو چه می‌گوید	bebīn ke sīb-e zanaḵẖdān-e to che mīgūyad
আমাদের কুয়ায় মিশরের হাজার ইউসুফের পতন।		هزار یوسفِ مصری، فتاده در چَهِ ماست	hazār Yūsof-e Meṣrī, fetādeh dar čahe māst
যদি তোমার লম্বা চুলে আমাদের হাত না পৌঁছায়,		اگر به زلفِ درازِ تو، دستِ ما نرسد	agar be zolf-e derāz-e to, dast-e mā naresad
দোষী ছোট হাত, আমাদের গুনা ও নিয়তি পেরেশান।		گناهِ بختِ پریشان و دستِ کوتهِ ماست	gonāh-e bakht-e parīshān o dast-e kōtahe māst
নির্জন প্রাসাদের খাসকামরার দারোয়ানকে বলো,		به حاجبِ درِ خلوت‌سرایِ خاص بگو	be ḥājeb-e dar-e ḵẖalvat-sarā-ye ḵẖāṣ begū
অমুকে তোমার দরগার ধুলায় একা করে সাধন।		فُلان ز گوشه‌نشینانِ خاکِ درگهِ ماست	folān ze gūshe-neshīnān-e ḵẖāk-e dargah-e māst
যদিও আমাদের নজর থেকে তোমার সুরত আড়ালে,		به صورت از نظر ما اگر چه محجوب است	be ṣūrat az naẓar-e mā agarche maḥjūb ast
আমাদের শান্ত মনের নজরে সে থাকবে চিরন্তন।		همیشه در نظرِ خاطرِ مرفّهِ ماست	hamīshe dar naẓar-e ḵẖāṭer-e moraffahe māst
যদি বছরে এক বার হাফিজ কড়া নাড়ে, খুলে দাও,		اگر به سالی حافظ دری زَنَد، بگشای	agar be sālī Ḥāfeẓ darī zanad, begoshāy
কারণ বহু বছর সে খুঁজছে মুখ চাঁদের মতন।		که سال‌هاست که مشتاقِ رویِ چون مهِ ماست	ke sālhāst ke moshtāq-e rūy-e chon mah-e māst
			
বন্দেগি শপথ সাধুতা দেখাতে বলো না আমাকে,	24	مطلب طاعت و پیمان و صلاح از من مست	maṭlab-e ṭāʿat o peymān o ṣalāḥ az man-e mast
ওয়াইন পানে বিখ্যাত আমি আলাস্তুর দিন থেকে।		که به پیمانه‌کشی شهره شدم روز الست	ke be peymāneh-keshī shohreh shodam rūz-e alast
প্রেমের ঝর্নায় ওজু যখন করি সে মুহূর্তেই		من همان دم که وضو ساختم از چشمهٔ عشق	man hamān dam ke wożū sāḵẖtam az cheshmeh-ye ʿeshq
চার তাকবির বলেছি যা আছে সবকিছুর আগে।		چار تکبیر زدم یکسره بر هر چه که هست	chār takbīr zadam yaksare bar har che ke hast
ওয়াইন দিলে নিয়তির গোপন কথা খুলে বলব,		می بده تا دهمت آگهی از سر قضا	mey bede tā dahamat āgahi az sar-e qażā
কার রূপে প্রেমিক আমি, মাতাল কার গন্ধ শুঁকে।		که به روی که شدم عاشق و از بوی که مست	ke be rūy-e ke shodam ʿāshiq o az būy-e ke mast
পাহাড়ের কোমর পিঁপড়ার কোমরের চেয়ে দুর্বল,		کمر کوه کم است از کمر مور این جا	kamar-e kūh kam ast az kamar-e mūr īn jā
ওয়াইনখোর, নিরাশ হয়ো না রহমতের রোয়াকে।		ناامید از در رحمت مشو ای باده‌پرست	nā-omīd az dar-e raḥmat mashow ey bāde-parast
চোখ দিয়ে পাহারা দেয়া সে মাস্তান নার্গিস ছাড়া		به جز آن نرگس مستانه که چشمش مرساد	be joz ān nargis-e mastāneh ke cheshmash marṣād
কেউ ফিরোজা এ গম্বুজের নিচে বসে নাই সুখে।		زیر این طارم فیروزه کسی خوش ننشست	zīr-e īn ṭāram-e fīrūze kasī ḵẖosh nenas̱hast
জান যাক তার ঠোঁটের জন্য, নজরের বাগানে		جان فدای دهنش باد که در باغ نظر	jān fadā-ye dahanash bād ke dar bāgh-e naẓar
বিশ্বের কোনো মালীর কুঁড়ি সুন্দর না তার থেকে।		چمن آرای جهان، خوشتر از این غنچه نبست	chaman-ārā-ye jahān, ḵẖoshtar az īn ghonche nabast
হাফিজ, প্রেমের দৌলতে হয়ে গেছ সোলায়মান,		حافظ از دولت عشق تو سلیمانی شد	Ḥāfeẓ az dowlat-e ʿeshq-e to Soleymānī shod
মানে তোমার মিলনে তার হাতে শুধু হাওয়া থাকে।		یعنی از وصل تواش نیست به جز باد به دست	yaʿnī az vaṣl-e tow-ash nīst be joz bād be dast
			
ফুটেছে লাল গোলাপ, হয়েছে বুলবুল মাস্তান,	25	شکفته شد گل حَمرا و گشت بلبل مست	shekofte shod gol-e ḥamrā va gasht bolbol mast
ওয়াইনখোর সুফিরা, শোনো আনন্দের আহ্বান।		صَلایِ سرخوشی، ای صوفیانِ باده پرست	ṣalā-ye sarkhoshī, ey ṣūfiyān-e bāde-parast
যে তওবার ভিত্তি ছিল পাথরের মতো কঠিন		اساسِ توبه که در محکمی چو سنگ نُمود	asās-e tawbeh ke dar moḥkamī cho sang namūd
দেখো এক কাঁচের গ্লাসে তা কেমন ভেঙে খানখান।		ببین که جامِ زُجاجی چه طُرفه‌اش بشکست	bebīn ke jāme zojājī che ṭorfe-ash beshekast
তাহলে ওয়াইন আনো, কারণ তৃপ্তির দরবারে		بیار باده که در بارگاهِ استغنا	biyār bāde ke dar bārgāh-e esteqnā
কি সোবার কি মাতাল, কি রাজা আর কি দারোয়ান।		چه پاسبان و چه سلطان، چه هوشیار و چه مست	che pāsebān o che soltān, che hoshyār o che mast
দুই দুয়ারী বার থেকে যেহেতু বের হতেই হবে,		از این رِباط دو در، چون ضرورت است رَحیل	az īn rebāṭ-e do dar, chon ẓarūrat ast raḥīl
কি যায় আসে উঁচু বা নিচু হোক রুজির খিলান।		رِواق و طاقِ معیشت، چه سربلند و چه پست	ravāq o ṭāq-e maʿīshat, che sarboland o che past
আনন্দের মোকাম সহজে মেলে না কষ্ট ছাড়া,		مقام عیش میسر نمی‌شود بی‌رنج	maqām-e ʿeysh mayassar namī-shavad bī ranj
হ্যাঁ, আলাস্তুর সন্ধি বেঁধেছিল দুর্দশার বিধান।		بلی به حکمِ بلا بسته‌اند عهدِ الست	balī be ḥokm-e balā bastah-and ʿahd al-alast
অস্তিনাস্তি নিয়ে কষ্ট দিও না আত্মাকে, সুখে থাকো,		به هست و نیست مَرنجان ضمیر و خوش می‌باش	be hast o nīst maranjān ẓamīr o khosh mībāsh
অস্তিত্বশীল সব পূর্ণতার নাস্তিতে অবসান।		که نیستی‌ست سرانجامِ هر کمال که هست	ke nīstī-st sar-anjām-e har kamāl ke hast
আসিফের গৌরব, হাওয়ার ঘোড়া, পাখির ভাষণ		شکوهِ آصِفی و اسبِ باد و منطقِ طیر	shekowh-e Āṣafī o asb-e bād o manṭeq-e ṭayr
বাতাসে ভেসে গেল, হলো না তাতে খাজার কল্যাণ।		به باد رفت و از او خواجه هیچ طَرف نبست	be bād raft o az ū ḵẖvāje hīch ṭaraf nabast
পাখা ও ডানায় ভর করে যেও না পথে, কারণ		به بال و پَر مرو از ره که تیرِ پرتابی	be bāl o par marow az rah ke tīr-e partābī
আকাশে ছোঁড়া তিরও একটু পরে ধুলায় ম্লান।		هوا گرفت زمانی، ولی به خاک نشست	havā gereft zamānī, valī be ḵẖāk neshast
কলমের জবান, হাফিজ, কি শুকরিয়া জানাবে		زبانِ کِلکِ تو حافظ چه شُکرِ آن گوید	zabān-e kelk-e to Ḥāfeẓ che shokr ān gūyad
যদি হাত থেকে হাতে ঘুরে তোমার কথার দান।		که گفتهٔ سخنت می‌برند دست به دست	ke gofte-ye sokhanat mī-barand dast be dast
			
এলোমেলো চুল, মদরাঙা মুখে হাসি, টাল হাঁটে,	26	زلف‌آشفته و خِوی‌کرده و خندان‌لب و مست	zolf-āshofte o khvī-karde o khandān-lab o mast
ছেঁড়া পিরান, গজল গায় মদের সোরাই হাতে।		پیرهن‌چاک و غزل‌خوان و صُراحی در دست	pīrhan-chāk o ghazal-khān o ṣorāḥī dar dast
তার ঝগড়াটে নার্গিস-চোখ, ঠোঁট ভরা আফসোস,		نرگسش عَربده‌جوی و لبش افسوس‌کنان	nargesash arabade-jūy o labash afsūs-konān
আমার বেডে এসে বসল গতকাল মাঝরাতে।		نیم شب، دوش به بالین من آمد، بنشست	nīm-shab, dūsh be bālin-e man āmad, beneshast
আমার কানের কাছে তার মাথা এনে দুখি সুরে		سر فرا گوش من آورد به آوازِ حزین	sar farāgūsh-e man āvard be āvāz-e ḥozīn
বলে, আমার পুরাতন প্রেমিক, পারছ ঘুমাতে?		گفت: ای عاشقِ دیرینهٔ من، خوابت هست؟	goft: ey ‘āsheq-e dīrīne-ye man, khvābat hast?
যে আশিককে দেয়া হয় এমন রাতভাঙা মদ সে		عاشقی را که چنین بادهٔ شبگیر دهند	‘āsheqī rā ke chenīn bāde-ye shabgīr dahand
প্রেমের কাফির যদি না মজে মদের ইবাদতে।		کافر عشق بُوَد گر نشود باده پرست	kāfer-e ‘eshq bovad gar nashavad bāde-parast
যাও, হে জাহেদ, তলানিখোরদের দোষ দিও না,		برو ای زاهد و بر دُردکشان خرده مگیر	boro ey zāhed o bar dordkeshān khorde magīr
আলাস্তুর দিন আর কোনো তোহফা দেয়নি পাতে।		که ندادند جز این تُحفه به ما روزِ الست	ke nadādand joz īn toḥfe be mā rooz-e alast
আমাদের গ্লাসে যা সে ঢেলেছে তাই পান করেছি,		آن چه او ریخت به پیمانهٔ ما نوشیدیم	ān-che ū rīkht be peymāne-ye mā nūshīdīm
তা হোক নেশার মদ বা যে ওয়াইন বয় বেহেশ্তে।		اگر از خَمرِ بهشت است وگر بادهٔ مست	agar az khamr-e behesht ast o gar bāde-ye mast
ওয়াইন গ্লাসের হাসি ও নেগারের জটিল চুল,		خندهٔ جامِ می و زلفِ گره‌گیرِ نگار	khande-ye jāme mey o zolf-e gerehgīr-e negār
হাফিজের তওবার মতো কত তওবা ভাঙে তাতে।		ای بسا توبه که چون توبه حافظ بشکست	ey basā towbe ke chon towbe-ye Ḥāfeẓ beshekast
			
মাজির মন্দিরে প্রিয়া আমার গ্লাস হাতে এল কাল,	27	در دیرِ مغان آمد، یارم قدحی در دست	dar deyr-e moghān āmad, yāram qadaḥī dar dast
মাতাল মদে, মদ্যপেরা তার নার্গিস-চোখে মাতাল।		مست از می و میخواران از نرگسِ مستش مست	mast az mey o meykhwārān az nargis-e mastash mast
তার সামান্দের নালে দেখেছি নতুন চাঁদের রূপ,		در نعلِ سمندِ او شکلِ مهِ نو پیدا	dar na‘l-e samand-e ū shekl-e mah-e now peydā
তার দিঘল দেহের পাশে সাইপ্রেসও বেহাল।		وز قدِ بلندِ او بالایِ صنوبر، پست	vaz qadd-e boland-e ū bālā-ye sanowbar, past
কিভাবে বলি নিজের খবর রাখি, যদি না রাখি,		آخر به چه گویم هست از خود خبرم، چون نیست	ākhar be che guyam hast az khod khabaram, chun nist
বা বলি তাকে নজর দেইনি, যদি দেই উত্তাল?		وز بَهرِ چه گویم نیست با وی نظرم، چون هست	vaz bahr-e che guyam nist bā vey nazaram, chun hast
আমার দিল-সাথির মোম বসে যায় সে উঠলে,		شمعِ دلِ دمسازم، بنشست چو او برخاست	sham‘-e del-e damsāzam, beneshast cho ū barkhāst
আর সে বসলে কেঁদে উঠে নজরবাজের পাল।		و افغان ز نظربازان، برخاست چو او بنشست	o afghān ze nazarbāzān, barkhāst cho ū beneshast
তার চুলে জড়ানো বলেই সিভিটে খুশবু থাকে,		گر غالیه خوش بو شد، در گیسویِ او پیچید	gar ghāliye khoshbū shod, dar gīsū-ye ū pichid
হেনা তিরন্দাজ হয় যখন পায় তার কপাল।		ور وَسمه کمانکَش گشت، در ابروی او پیوست	var vasmeh kamānkash gasht, dar abru-ye ū peyvast
যদিও ধনুক থেকে ছুটলে তির আর ফেরে না,		بازآی که بازآید عمرِ شدهٔ حافظ	bāz āy ke bāz āyad ‘omr-e shode-ye Hāfez
ফিরে আসো যাতে ফিরে আসে হাফিজের গত কাল।		هرچند که ناید باز، تیری که بِشُد از شست	har chand ke nayad bāz, tīrī ke beshod az shast
			
খাজার জান, শাশ্বত হক, আর শুদ্ধ সন্ধির কসম,	28	به جانِ خواجه و حقِ قدیم و عهدِ درست	be jān-e khwāja o ḥaqq-e qadīm o ‘ahd-e dorost
তোমার দৌলতের জন্য দোয়াই আমার ভোরের দম।		که مونسِ دمِ صبحم، دعایِ دولتِ توست	ke mones-e dam-e ṣobḥam, do‘ā-ye dowlat-e tost
নূহের তুফানের সাথে পাল্লা দেয়া অশ্রু আমার		سِرِشک من که ز طوفان نوح دست بَرَد	sereshk-e man ke ze ṭūfān-e Nūḥ dast barad
বুকের ফলকে প্রেমের নক্সা করতে পারেনি খতম।		ز لوح سینه نیارَست نقشِ مهرِ تو شُست	ze lowḥ-e sīneh nayārast naqsh-e mehr-e to shost
একটা ব্যবসা খুলো আর কিনে নাও এই ভাঙা দিল,		بکن معامله‌ای، وین دل شکسته بخر	bokon mo‘āmele’ī, vīn del-e shekaste bekhar
অক্ষত হাজারটার চেয়ে বেশি ভাঙা এ দিলের দাম।		که با شکستگی ارزد به صد هزار درست	ke bā shekastagī arzad be sad hazār dorost
আসিফের প্রতি পিঁপড়ার কথা কঠিন হওয়াই ঠিক:		زبان مور به آصف دراز گشت و رواست	zabān-e mūr be Āṣef derāz gasht o ravāst
জামশিদের আংটি খাজা খোয়ায়, খোঁজেও না একদম।		که خواجه خاتَمِ جم، یاوه کرد و باز نَجُست	ke khwāja khātam-e Jam, yāveh kard o bāz najost
